bracket_num,group,champion,runner_up,final_four,elite_eight,log_prob,hamming_vs_deterministic,outcomes
1,A,Arizona,Duke,"Arizona, Duke, Florida, Michigan","Arizona, Duke, Florida, Houston, Iowa St., Michigan, Michigan St., Purdue",-10.642280677666447,0,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2"
2,A,Duke,Arizona,"Arizona, Duke, Florida, Michigan","Arizona, Duke, Florida, Houston, Iowa St., Michigan, Michigan St., Purdue",-10.653264624416174,1,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1"
3,A,Michigan,Duke,"Arizona, Duke, Florida, Michigan","Arizona, Duke, Florida, Houston, Iowa St., Michigan, Michigan St., Purdue",-10.245698417784354,1,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2"
4,A,Florida,Arizona,"Arizona, Duke, Florida, Michigan","Arizona, Duke, Florida, Houston, Iowa St., Michigan, Michigan St., Purdue",-9.750580917002333,2,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1"
5,A,Iowa St.,Duke,"Arizona, Duke, Florida, Iowa St.","Arizona, Duke, Florida, Houston, Iowa St., Michigan, Michigan St., Purdue",-10.237988269644,2,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2"
6,A,Houston,Arizona,"Arizona, Duke, Houston, Michigan","Arizona, Duke, Florida, Houston, Iowa St., Michigan, Michigan St., Purdue",-9.539277993239546,3,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1"
7,A,Illinois,Arizona,"Arizona, Duke, Illinois, Michigan","Arizona, Duke, Florida, Illinois, Iowa St., Michigan, Michigan St., Purdue",-9.53225241420746,4,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1"
8,A,Purdue,Duke,"Duke, Florida, Michigan, Purdue","Arizona, Duke, Florida, Houston, Iowa St., Michigan, Michigan St., Purdue",-10.390442031833702,1,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2"
9,B,Duke,Arizona,"Arizona, Duke, Florida, Michigan","Arizona, Duke, Florida, Houston, Iowa St., Michigan, Michigan St., Purdue",-12.162305197441981,1,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1"
10,B,Duke,Michigan,"Arizona, Duke, Florida, Michigan","Arizona, Duke, Florida, Houston, Iowa St., Michigan, Michigan St., Purdue",-12.657094759422495,2,"1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1"
