Winners,Joint Probability
000000000000000,0.00010188756372894815
000000000000001,0.00011092808650204452
000000000000010,9.8276441176638e-05
000000000000011,9.936995935235524e-05
000000000000100,8.223795667950742e-05
000000000000101,8.953496225078467e-05
000000000000110,6.453528382759769e-05
000000000000111,4.4668359077247374e-05
000000000001000,0.00011728804530384529
000000000001001,0.00012769505873879417
000000000001010,0.00011313109532867621
000000000001011,0.0001143899006689953
000000000001100,0.00010947123100610235
000000000001101,0.00011918465549765663
000000000001110,9.882392621144905e-05
000000000001111,8.782782600532487e-05
000000000010000,6.793000289366645e-05
000000000010001,7.395745821461658e-05
000000000010010,5.275800572398972e-05
000000000010011,3.588447521996906e-05
000000000010100,6.866162913524044e-05
000000000010101,7.475400193440157e-05
000000000010110,5.3881418060720897e-05
000000000010111,3.729424257212809e-05
000000000011000,7.629397527094699e-05
000000000011001,8.306356908243471e-05
000000000011010,5.925390567627724e-05
000000000011011,4.030279918181027e-05
000000000011100,8.917391519424684e-05
000000000011101,9.708635103601879e-05
000000000011110,8.050075197063438e-05
000000000011111,7.154346430485765e-05
000000000100000,5.689750603183922e-05
000000000100001,3.634622425257861e-05
000000000100010,7.338710753485623e-05
000000000100011,7.420368305378901e-05
000000000100100,4.828273445746736e-05
000000000100101,3.0843093423757326e-05
000000000100110,5.0665819107594886e-05
000000000100111,3.506855268331676e-05
000000000101000,6.549766253015364e-05
000000000101001,4.184001894579573e-05
000000000101010,8.447969583574264e-05
000000000101011,8.541969815745277e-05
000000000101100,6.218203981016502e-05
000000000101101,3.972199347645064e-05
000000000101110,7.506290425738766e-05
000000000101111,6.671068381220042e-05
000000000110000,3.9973931126988906e-05
000000000110001,2.5535415632903903e-05
000000000110010,4.1514699078851525e-05
000000000110011,2.8237102026813712e-05
000000000110100,4.031193551991565e-05
000000000110101,2.5751333417715025e-05
000000000110110,4.230160648271225e-05
000000000110111,2.9279228909289573e-05
000000000111000,4.489577481188919e-05
000000000111001,2.8679497804228223e-05
000000000111010,4.6626251876665436e-05
000000000111011,3.171383294549799e-05
000000000111100,5.065272303668381e-05
000000000111101,3.235704618520259e-05
000000000111110,6.114531641750722e-05
000000000111111,5.434170061070898e-05
000000001000000,0.00012111686315045753
000000001000001,0.0001318636090676593
000000001000010,0.00011682421132936573
000000001000011,0.00011812410982917892
000000001000100,9.775877428400244e-05
000000001000101,0.00010643294797938751
000000001000110,7.67150656435053e-05
000000001000111,5.3098644579498974e-05
000000001001000,0.00013942388660937656
000000001001001,0.00015179502176929555
000000001001010,0.00013448239303705747
000000001001011,0.00013597877344460248
000000001001100,0.00013013180038292692
000000001001101,0.00014167844515299545
000000001001110,0.00011747502353461716
000000001001111,0.00010440362291307629
000000001010000,8.075047202198248e-05
000000001010001,8.791549250667192e-05
000000001010010,6.271505496355327e-05
000000001010011,4.265697319061656e-05
000000001010100,8.162017851151774e-05
000000001010101,8.886236838800332e-05
000000001010110,6.405048956685163e-05
000000001010111,4.4332806758682484e-05
000000001011000,9.069298179195036e-05
000000001011001,9.87402049980264e-05
000000001011010,7.043692990850042e-05
000000001011011,4.790917001479745e-05
000000001011100,0.00010600376030095899
000000001011101,0.00011540951478130084
000000001011110,9.569370591561307e-05
000000001011111,8.504590411615825e-05
000000001100000,9.451295572851016e-05
000000001100001,8.070678359356086e-05
000000001100010,0.00010316456184360927
000000001100011,0.00010431246994971505
000000001100100,7.804548116249799e-05
000000001100101,6.664482885003035e-05
000000001100110,6.930804123671414e-05
000000001100111,4.797184252218789e-05
000000001101000,0.00010879875254232132
000000001101001,9.290575359748007e-05
000000001101010,0.00011875806389339317
000000001101011,0.00012007948029620128
000000001101100,0.00010234525449013858
000000001101101,8.739496339200705e-05
000000001101110,0.00010455402633100633
000000001101111,9.29203400916076e-05
000000001110000,6.453333717919277e-05
000000001110001,5.510649876671152e-05
000000001110010,5.671811790068038e-05
000000001110011,3.857802940805194e-05
000000001110100,6.516127223521051e-05
000000001110101,5.564270693294865e-05
000000001110110,5.7866260491258634e-05
000000001110111,4.005236746128202e-05
000000001111000,7.247909055160759e-05
000000001111001,6.189156006304178e-05
000000001111010,6.37016119563955e-05
000000001111011,4.332800082854406e-05
000000001111100,8.336918257481255e-05
000000001111101,7.119085975646616e-05
000000001111110,8.516842088620052e-05
000000001111111,7.569176349800701e-05
000000010000000,5.6921884682181976e-05
000000010000001,4.176978242584081e-05
000000010000010,6.761822183336224e-05
000000010000011,6.837060718329123e-05
000000010000100,4.7681244198218904e-05
000000010000101,3.498891870979144e-05
000000010000110,4.6081724587026984e-05
000000010000111,3.189565302371684e-05
000000010001000,6.552572605568318e-05
000000010001001,4.808335732245852e-05
000000010001010,7.783883307736371e-05
000000010001011,7.87049427749435e-05
000000010001100,6.193846356218151e-05
000000010001101,4.5450992377155725e-05
000000010001110,6.886186200888016e-05
000000010001111,6.11996291462658e-05
000000010010000,3.9452068692320164e-05
000000010010001,2.895027694055562e-05
000000010010010,3.773572944474459e-05
000000010010011,2.5666755776396894e-05
000000010010100,3.980974282475998e-05
000000010010101,2.9212741382391626e-05
000000010010110,3.8474281356934256e-05
000000010010111,2.6630130263030682e-05
000000010011000,4.430965736761677e-05
000000010011001,3.251481847346942e-05
000000010011010,4.238199155673697e-05
000000010011011,2.8827009378391147e-05
000000010011100,5.0454308827933355e-05
000000010011101,3.702381806146778e-05
000000010011110,5.609402384956741e-05
000000010011111,4.9852463421227516e-05
000000010100000,4.826525658827184e-05
000000010100001,3.083192853099591e-05
000000010100010,6.22531253559487e-05
000000010100011,6.294581348401774e-05
000000010100100,4.095748179312117e-05
000000010100101,2.6163709482110787e-05
000000010100110,4.297901489943365e-05
000000010100111,2.9748099899008865e-05
000000010101000,5.556063364501243e-05
000000010101001,3.549222788336173e-05
000000010101010,7.166279298304553e-05
000000010101011,7.246018212037471e-05
000000010101100,5.2748043208436805e-05
000000010101101,3.369554029777177e-05
000000010101110,6.367467727348798e-05
000000010101111,5.658962045846363e-05
000000010110000,3.390925503143112e-05
000000010110001,2.1661290161305077e-05
000000010110010,3.5216264173413914e-05
000000010110011,2.3953088099691526e-05
000000010110100,3.419597882462239e-05
000000010110101,2.184444981122098e-05
000000010110110,3.588378530759676e-05
000000010110111,2.483710789050778e-05
000000010111000,3.808437736818423e-05
000000010111001,2.432836545716534e-05
000000010111010,3.955231375725562e-05
000000010111011,2.6902344079114814e-05
000000010111100,4.296790570912102e-05
000000010111101,2.744797172117603e-05
000000010111110,5.186860711277224e-05
000000010111111,4.609720717725691e-05
000000011000000,6.578124405810181e-05
000000011000001,4.8270858692564296e-05
000000011000010,7.81423661221044e-05
000000011000011,7.901185322018204e-05
000000011000100,5.510238424306432e-05
000000011000101,4.0434616911030364e-05
000000011000110,5.325391435302094e-05
000000011000111,3.6859913329651594e-05
000000011001000,7.572419293246752e-05
000000011001001,5.556708251706318e-05
000000011001010,8.995371998746744e-05
000000011001011,9.095463156507408e-05
000000011001100,7.157860655733166e-05
000000011001101,5.2525014569317266e-05
000000011001110,7.95795672682536e-05
000000011001111,7.072477946950353e-05
000000011010000,4.559241447707856e-05
000000011010001,3.34561169857478e-05
000000011010010,4.360894306600967e-05
000000011010011,2.966154643919175e-05
000000011010100,4.6005757245517475e-05
000000011010101,3.375943156504164e-05
000000011010110,4.446244368104701e-05
000000011010111,3.077486116126108e-05
000000011011000,5.1206041432118245e-05
000000011011001,3.7575446095123574e-05
000000011011010,4.897835245316151e-05
000000011011011,3.331366397955409e-05
000000011011100,5.830705046616351e-05
000000011011101,4.2786229329236096e-05
000000011011110,6.482453442382983e-05
000000011011111,5.7611533446570575e-05
000000011100000,7.79421010889297e-05
000000011100001,6.655655023086065e-05
000000011100010,8.507683043060499e-05
000000011100011,8.602347704595267e-05
000000011100100,6.436185108605816e-05
000000011100101,5.4960062853230245e-05
000000011100110,5.7156337083193626e-05
000000011100111,3.9560991088110635e-05
000000011101000,8.97231845479681e-05
000000011101001,7.661668797491255e-05
000000011101010,9.79363405763454e-05
000000011101011,9.902607446578262e-05
000000011101100,8.44011713521761e-05
000000011101101,7.207209867533895e-05
000000011101110,8.622268160731845e-05
000000011101111,7.662871703474949e-05
000000011110000,5.3218776740778126e-05
000000011110001,4.544473574469298e-05
000000011110010,4.677379143328533e-05
000000011110011,3.181418510041434e-05
